GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GBIF Common :: API,org.gbif.api.model.collections,CollectionImportParams,102,0,10,0,19,0,13,0,8,0
GBIF Common :: API,org.gbif.api.model.collections,Institution,1504,0,160,0,262,0,170,0,90,0
GBIF Common :: API,org.gbif.api.model.collections,OccurrenceMapping,257,0,26,0,49,0,31,0,18,0
GBIF Common :: API,org.gbif.api.model.collections,Address,257,0,30,0,42,0,32,0,17,0
GBIF Common :: API,org.gbif.api.model.collections,Collection,1582,0,168,0,278,0,178,0,94,0
GBIF Common :: API,org.gbif.api.model.collections,MasterSourceMetadata,196,0,16,0,37,0,23,0,15,0
GBIF Common :: API,org.gbif.api.model.collections,CollectionEntityType,34,0,0,0,2,0,1,0,1,0
GBIF Common :: API,org.gbif.api.model.collections,UserId,110,0,10,0,22,0,14,0,9,0
GBIF Common :: API,org.gbif.api.model.collections,AlternativeCode,113,0,10,0,22,0,14,0,9,0
GBIF Common :: API,org.gbif.api.model.collections,SourceableField,69,0,10,0,15,0,12,0,7,0
GBIF Common :: API,org.gbif.api.model.collections,InstitutionImportParams,102,0,10,0,19,0,13,0,8,0
GBIF Common :: API,org.gbif.api.model.collections,Contact,757,0,78,0,130,0,84,0,45,0
GBIF Common :: API,org.gbif.api.model.collections,SourceableField.Source,86,0,12,0,19,0,15,0,9,0
GBIF Common :: API,org.gbif.api.model.common.export,ExportFormat,39,0,0,0,7,0,3,0,3,0
GBIF Common :: API,org.gbif.api.model.event,Lineage,181,0,30,0,6,0,27,0,12,0
GBIF Common :: API,org.gbif.api.model.event,Event.ParentLineage,132,0,22,0,4,0,20,0,9,0
GBIF Common :: API,org.gbif.api.model.event,Event,3174,0,520,0,160,0,397,0,137,0
GBIF Common :: API,org.gbif.api.model.event,Event.VocabularyConcept,132,0,22,0,4,0,20,0,9,0
GBIF Common :: API,org.gbif.api.model.literature,LiteratureRelevance,94,0,0,0,10,0,1,0,1,0
GBIF Common :: API,org.gbif.api.model.literature,LiteratureType,204,0,0,0,21,0,1,0,1,0
GBIF Common :: API,org.gbif.api.model.literature,LiteratureTopic,184,0,0,0,19,0,1,0,1,0
GBIF Common :: API,org.gbif.api.model.metrics,RecordError,122,95,8,8,16,27,15,9,7,9
GBIF Common :: API,org.gbif.api.model.metrics,RecordError.Builder,0,33,0,0,0,12,0,7,0,7
GBIF Common :: API,org.gbif.api.util.validators.identifierschemes,IhIrnValidator,30,19,4,2,7,6,4,3,1,3
GBIF Common :: API,org.gbif.api.util.validators.identifierschemes,IdentifierScheme,0,103,0,0,0,13,0,3,0,3
GBIF Common :: API,org.gbif.api.util.validators.identifierschemes,WikidataValidator,0,49,0,6,0,13,0,7,0,4
GBIF Common :: API,org.gbif.api.util.validators.identifierschemes,OtherValidator,19,0,4,0,4,0,5,0,3,0
GBIF Common :: API,org.gbif.api.util.validators.identifierschemes,ViafValidator,30,19,4,2,7,6,4,3,1,3
GBIF Common :: API,org.gbif.api.util.validators.identifierschemes,ResearcherIdValidator,33,29,6,6,7,8,5,5,1,3
GBIF Common :: API,org.gbif.api.util.validators.identifierschemes,IsniValidator,9,37,2,6,3,10,3,5,1,3
GBIF Common :: API,org.gbif.api.util.validators.identifierschemes,OrcidValidator,14,69,4,8,2,12,4,7,0,5
GBIF Common :: API,org.gbif.api.util.validators.identifierschemes,Mod112,7,68,1,5,1,11,2,5,1,3
GBIF Common :: API,org.gbif.api.util.validators.identifierschemes,HuhValidator,38,37,8,8,8,11,6,6,1,3
GBIF Common :: API,org.gbif.api.model.collections.request,SearchRequest,130,0,0,0,53,0,36,0,36,0
GBIF Common :: API,org.gbif.api.model.collections.request,CollectionSearchRequest.Builder,219,0,2,0,71,0,25,0,24,0
GBIF Common :: API,org.gbif.api.model.collections.request,InstitutionSearchRequest.Builder,200,0,2,0,65,0,23,0,22,0
GBIF Common :: API,org.gbif.api.model.collections.request,InstitutionSearchRequest,28,0,0,0,11,0,8,0,8,0
GBIF Common :: API,org.gbif.api.model.collections.request,CollectionSearchRequest,42,0,0,0,17,0,12,0,12,0
GBIF Common :: API,org.gbif.api.model.registry.metasync,MetasyncResult,54,0,0,0,6,0,1,0,1,0
GBIF Common :: API,org.gbif.api.model.registry.metasync,MetasyncHistory,157,0,14,0,28,0,19,0,12,0
